Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2016,9,9,13096568,48,Huye,43,Female,SME,-0.16,Operating
Mining & Quarrying,Gold,Service-based,Partnership,2014,11,11,16210259,6,Rusizi,30,Male,Micro-enterprise,0.1,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Partnership,2024,1,0,6729563,11,Rwamagana,49,Male,Micro-enterprise,0.38,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Partnership,2010,15,0,3768570,17,Kigali,58,Male,Startup,0.02,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Sole Proprietorship,2003,22,22,681887,5,Kigali,19,Female,Micro-enterprise,-0.14,Operating
Education & Training,EdTech platforms,Service-based,Sole Proprietorship,2004,21,21,2139424,8,Rubavu,53,Female,SME,-0.1,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Hybrid,Limited Company,2007,18,18,2336153,37,Nyagatare,47,Female,Micro-enterprise,-0.02,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Service-based,Sole Proprietorship,2012,13,13,1064227,1,Huye,22,Male,SME,0.42,Closed
Education & Training,EdTech platforms,Product-based,Partnership,2010,15,15,3554979,17,Nyagatare,46,Male,SME,-0.08,Operating
Public Administration & Defense,Security & defense institutions,Product-based,Partnership,2024,1,1,4850765,22,Rwamagana,58,Male,Startup,0.45,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Cooperative,2002,23,23,1018375,34,Huye,41,Male,Micro-enterprise,0.45,Operating
Construction & Real Estate,Road construction & maintenance,Hybrid,Cooperative,2016,9,9,5519127,10,Huye,23,Female,SME,0.11,Operating
Education & Training,EdTech platforms,Service-based,Limited Company,2015,10,10,3566052,4,Musanze,26,Female,SME,0.27,Operating
Education & Training,Vocational & technical training (TVET),Hybrid,Sole Proprietorship,2021,4,4,4940296,19,Huye,20,Female,Micro-enterprise,0.01,Operating
Mining & Quarrying,Gold,Service-based,Limited Company,2019,6,6,13743255,35,Musanze,39,Female,SME,0.15,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Sole Proprietorship,2013,12,12,341874,25,Musanze,54,Male,Micro-enterprise,0.17,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Sole Proprietorship,2013,12,12,4107476,17,Huye,34,Male,SME,0.08,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Sole Proprietorship,2024,1,1,2237202,31,Kigali,23,Female,SME,0.08,Operating
Education & Training,EdTech platforms,Service-based,Partnership,2025,0,0,2490356,29,Kigali,25,Male,Micro-enterprise,0.27,Operating
Education & Training,"Primary, secondary & tertiary schools",Service-based,Cooperative,2000,25,0,4069117,36,Musanze,54,Female,Startup,0,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Service-based,Partnership,2009,16,16,9622974,10,Musanze,40,Male,SME,0.21,Operating
Manufacturing,"Food & beverages processing (dairy, breweries, bakeries, milling)",Service-based,Cooperative,2018,7,7,4701224,9,Rwamagana,59,Female,Startup,0.13,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Limited Company,2009,16,16,8423678,4,Rwamagana,55,Male,Startup,0.09,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Partnership,2012,13,0,2944127,25,Rubavu,22,Male,Startup,0.12,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Product-based,Limited Company,2002,23,23,2986828,28,Rubavu,23,Female,Micro-enterprise,-0.12,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Product-based,Limited Company,2000,25,25,7000616,40,Huye,54,Female,Startup,0.15,Operating
Nonprofit & Community Organizations,Charities & associations,Hybrid,Cooperative,2001,24,24,7874005,11,Rwamagana,34,Male,SME,0.15,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Product-based,Limited Company,2015,10,10,6243638,33,Musanze,53,Male,Startup,0.3,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Sole Proprietorship,2012,13,0,15132302,17,Rusizi,55,Female,SME,0.35,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Service-based,Limited Company,2016,9,9,4260500,41,Rwamagana,61,Female,Micro-enterprise,-0.11,Closed
Mining & Quarrying,Gold,Hybrid,Sole Proprietorship,2023,2,2,14752317,5,Nyagatare,27,Female,SME,0.37,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Sole Proprietorship,2020,5,5,16381547,42,Huye,64,Female,SME,0.12,Closed
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Limited Company,2006,19,19,3739590,43,Rwamagana,24,Male,SME,0.11,Closed
Public Administration & Defense,Security & defense institutions,Service-based,Cooperative,2010,15,15,6365960,24,Huye,28,Female,Startup,0.11,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Partnership,2013,12,12,5709370,31,Rubavu,64,Male,Startup,-0.17,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2014,11,11,16717074,33,Rwamagana,18,Female,SME,0.31,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Product-based,Limited Company,2016,9,9,8926893,6,Nyagatare,54,Female,SME,0.13,Operating
Transport & Logistics,Rail (future projects),Product-based,Partnership,2004,21,21,6288096,21,Rusizi,60,Male,Micro-enterprise,0.31,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Product-based,Sole Proprietorship,2020,5,5,3419808,9,Nyagatare,45,Male,SME,0.12,Operating
Public Administration & Defense,Government services,Product-based,Sole Proprietorship,2006,19,19,613435,37,Rubavu,63,Male,Startup,0.46,Operating
Construction & Real Estate,Real estate development & property management,Service-based,Cooperative,2023,2,2,7718687,13,Rubavu,61,Male,SME,0.35,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Limited Company,2002,23,0,1962649,43,Nyagatare,34,Female,Startup,0.22,Closed
Nonprofit & Community Organizations,Religious organizations,Service-based,Cooperative,2004,21,21,5677350,31,Rwamagana,53,Male,SME,0.42,Operating
Financial & Insurance Services,"Capital markets, investment funds",Service-based,Partnership,2020,5,5,5615365,41,Kigali,31,Male,Startup,-0.01,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Hybrid,Cooperative,2006,19,19,3020546,21,Rusizi,20,Female,Startup,0.01,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Limited Company,2018,7,7,100988,34,Kigali,26,Female,Startup,-0.19,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Partnership,2008,17,17,7495871,17,Rusizi,63,Male,Micro-enterprise,0.08,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Sole Proprietorship,2020,5,5,6707016,7,Rusizi,31,Female,Startup,0.02,Operating
Nonprofit & Community Organizations,Charities & associations,Service-based,Sole Proprietorship,2001,24,24,8510059,9,Huye,32,Female,Micro-enterprise,0.38,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Limited Company,2020,5,5,2219949,16,Musanze,24,Male,Micro-enterprise,-0.07,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Product-based,Limited Company,2023,2,2,1600525,35,Rwamagana,27,Female,Startup,0.26,Operating
Public Administration & Defense,Government services,Hybrid,Cooperative,2014,11,0,4817262,14,Rubavu,25,Male,Startup,-0.08,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Sole Proprietorship,2020,5,5,959716,11,Rubavu,38,Female,Startup,0.31,Operating
Professional & Business Services,Security services,Service-based,Cooperative,2000,25,25,8586112,36,Rusizi,55,Female,Startup,0.37,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Limited Company,2010,15,15,1037076,32,Huye,39,Female,Micro-enterprise,-0.15,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Limited Company,2013,12,12,8036828,17,Nyagatare,38,Female,Micro-enterprise,-0.1,Closed
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Limited Company,2009,16,16,2541318,38,Kigali,33,Male,Micro-enterprise,0.13,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Hybrid,Limited Company,2009,16,16,3842154,4,Musanze,24,Male,SME,0.02,Operating
Education & Training,"Primary, secondary & tertiary schools",Hybrid,Sole Proprietorship,2015,10,0,3449263,2,Rwamagana,19,Female,Startup,0.18,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Hybrid,Sole Proprietorship,2025,0,0,6903184,45,Huye,31,Male,SME,0.42,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Service-based,Cooperative,2004,21,21,5347437,41,Musanze,53,Female,Micro-enterprise,0.2,Operating
Transport & Logistics,Rail (future projects),Service-based,Limited Company,2002,23,23,2927391,26,Musanze,52,Male,Micro-enterprise,0.35,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Cooperative,2018,7,7,18988301,7,Rubavu,27,Male,Micro-enterprise,-0.09,Operating
Professional & Business Services,Management consulting & advisory,Product-based,Partnership,2014,11,11,8484746,35,Rubavu,63,Male,Micro-enterprise,0.26,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Limited Company,2010,15,15,16986754,44,Kigali,56,Male,Startup,0.06,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Service-based,Cooperative,2006,19,19,2435973,5,Rusizi,35,Male,Micro-enterprise,0.45,Closed
Energy & Utilities,Renewable energy technologies,Product-based,Limited Company,2014,11,11,6208717,39,Huye,21,Female,Startup,0.34,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Partnership,2003,22,22,19793086,21,Rwamagana,33,Male,SME,0.06,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Cooperative,2022,3,0,101638,29,Musanze,55,Male,SME,0.38,Operating
Energy & Utilities,Renewable energy technologies,Product-based,Limited Company,2001,24,24,5924484,7,Musanze,62,Male,Micro-enterprise,0.07,Closed
Public Administration & Defense,Government services,Hybrid,Partnership,2024,1,1,7773427,20,Nyagatare,35,Male,Micro-enterprise,-0.17,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Limited Company,2021,4,4,4452121,46,Huye,37,Male,Micro-enterprise,0.08,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Sole Proprietorship,2007,18,0,6245930,13,Nyagatare,29,Female,Micro-enterprise,-0.18,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Partnership,2004,21,21,1633829,16,Rubavu,52,Female,SME,0.41,Operating
Transport & Logistics,Rail (future projects),Product-based,Partnership,2003,22,22,6553818,33,Rwamagana,22,Female,SME,-0.18,Operating
Energy & Utilities,Water supply & waste management,Product-based,Partnership,2022,3,3,15292829,49,Huye,56,Male,Startup,0.4,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Sole Proprietorship,2017,8,8,2623556,4,Nyagatare,18,Male,Micro-enterprise,0.29,Operating
Health & Social Work,NGOs & community health services,Hybrid,Cooperative,2003,22,22,9884948,14,Kigali,22,Female,Startup,0,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Partnership,2022,3,3,5147666,25,Nyagatare,52,Female,Micro-enterprise,0.07,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Sole Proprietorship,2011,14,14,2002038,29,Rubavu,37,Female,Startup,0.12,Closed
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Cooperative,2022,3,3,859854,9,Kigali,20,Male,Micro-enterprise,0.31,Operating
Energy & Utilities,Water supply & waste management,Service-based,Partnership,2003,22,22,12058666,10,Rusizi,40,Female,SME,0.23,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Cooperative,2009,16,16,3338292,46,Rubavu,35,Male,Micro-enterprise,0.37,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Hybrid,Cooperative,2002,23,23,2159935,23,Musanze,22,Female,Micro-enterprise,0.04,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Product-based,Limited Company,2015,10,10,1904951,16,Rwamagana,62,Female,Startup,0.2,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Partnership,2010,15,15,4128015,22,Rusizi,41,Female,Micro-enterprise,0.32,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Limited Company,2007,18,18,5918798,23,Nyagatare,43,Female,Micro-enterprise,0.05,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Cooperative,2001,24,0,1328937,44,Rubavu,20,Male,SME,0.46,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Hybrid,Cooperative,2012,13,13,2879978,21,Rwamagana,28,Male,Micro-enterprise,0.07,Operating
Professional & Business Services,Security services,Product-based,Partnership,2007,18,0,7938282,47,Kigali,60,Female,Micro-enterprise,0.27,Closed
Transport & Logistics,Rail (future projects),Hybrid,Cooperative,2024,1,1,7358579,18,Nyagatare,29,Male,Startup,0.02,Closed
Nonprofit & Community Organizations,Religious organizations,Hybrid,Cooperative,2010,15,15,9407091,23,Rubavu,41,Female,Startup,0.32,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Limited Company,2010,15,15,4453310,49,Rusizi,50,Female,Startup,-0.17,Operating
Education & Training,EdTech platforms,Product-based,Partnership,2012,13,13,1443497,33,Huye,60,Female,SME,-0.01,Operating
Manufacturing,Paper & printing,Service-based,Sole Proprietorship,2021,4,4,2536568,5,Musanze,51,Female,Startup,-0.03,Operating
Public Administration & Defense,Government services,Product-based,Partnership,2015,10,10,8891451,34,Nyagatare,44,Male,Startup,-0.11,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Sole Proprietorship,2016,9,0,1068688,30,Huye,33,Male,Micro-enterprise,0.25,Closed
Education & Training,Universities & research centers,Hybrid,Cooperative,2024,1,1,2005040,31,Rubavu,28,Male,Micro-enterprise,0.16,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Sole Proprietorship,2023,2,2,5751084,24,Rubavu,18,Male,Micro-enterprise,0.17,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Sole Proprietorship,2002,23,23,871842,9,Kigali,47,Female,Startup,0.45,Operating
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Partnership,2015,10,10,258138,41,Kigali,48,Female,Startup,0.39,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Partnership,2022,3,3,2339241,21,Kigali,64,Male,Startup,0.43,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Cooperative,2008,17,17,4733073,45,Huye,54,Male,Startup,0.44,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Partnership,2018,7,0,1141053,29,Kigali,33,Male,Micro-enterprise,0.14,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Limited Company,2021,4,4,3419471,38,Huye,36,Female,SME,-0.12,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Sole Proprietorship,2013,12,12,9978716,46,Nyagatare,31,Female,Startup,0.13,Operating
Energy & Utilities,Water supply & waste management,Service-based,Sole Proprietorship,2003,22,22,19976680,19,Rubavu,56,Male,Micro-enterprise,0.47,Closed
Manufacturing,Wood products & furniture,Hybrid,Limited Company,2025,0,0,14595662,8,Rwamagana,18,Female,Micro-enterprise,-0.02,Operating
Manufacturing,"Food & beverages processing (dairy, breweries, bakeries, milling)",Service-based,Limited Company,2010,15,15,1509266,19,Rwamagana,60,Male,Startup,-0.02,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Cooperative,2008,17,0,13506387,43,Kigali,32,Female,Micro-enterprise,0.24,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Sole Proprietorship,2024,1,1,7359650,21,Nyagatare,50,Male,Startup,0.06,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Limited Company,2012,13,13,19556580,26,Rusizi,58,Female,SME,0.22,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Cooperative,2015,10,10,4856822,13,Huye,48,Female,Micro-enterprise,0.35,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Sole Proprietorship,2008,17,17,6988236,6,Rwamagana,19,Female,SME,-0.07,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Limited Company,2025,0,0,12761473,39,Nyagatare,42,Male,SME,0.26,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Service-based,Limited Company,2002,23,23,8494032,33,Rwamagana,26,Female,SME,0.19,Operating
Health & Social Work,NGOs & community health services,Service-based,Partnership,2014,11,11,4674579,42,Musanze,25,Female,SME,-0.02,Closed
Energy & Utilities,Renewable energy technologies,Hybrid,Partnership,2006,19,19,11938780,30,Musanze,45,Male,SME,0.16,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Sole Proprietorship,2011,14,14,1625373,15,Musanze,56,Male,Startup,-0.15,Operating
Nonprofit & Community Organizations,Religious organizations,Hybrid,Sole Proprietorship,2017,8,8,2859171,3,Huye,44,Male,SME,0.23,Closed
Manufacturing,"Textile, apparel & leather goods",Service-based,Partnership,2019,6,6,2924552,27,Rwamagana,29,Male,SME,0.38,Operating
Education & Training,Universities & research centers,Hybrid,Limited Company,2024,1,1,622937,20,Nyagatare,41,Male,SME,0.43,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Sole Proprietorship,2009,16,0,3708476,23,Musanze,45,Male,Startup,0.15,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Hybrid,Limited Company,2013,12,12,477356,32,Kigali,42,Female,SME,0.02,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Sole Proprietorship,2018,7,7,998565,8,Nyagatare,34,Female,Startup,0.49,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Service-based,Limited Company,2020,5,5,8934489,11,Rusizi,56,Female,SME,0.21,Operating
Manufacturing,"Cement, ceramics, building materials",Service-based,Cooperative,2013,12,12,7385802,32,Kigali,29,Female,Micro-enterprise,0.41,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Sole Proprietorship,2004,21,21,9241355,23,Musanze,27,Male,SME,0.41,Closed
"Arts, Entertainment & Recreation",Gaming & leisure activities,Service-based,Partnership,2014,11,11,7902191,22,Huye,30,Male,Micro-enterprise,0.25,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Product-based,Limited Company,2007,18,18,9503537,41,Musanze,51,Male,SME,0.18,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Cooperative,2012,13,13,5960921,20,Nyagatare,58,Female,Startup,0.16,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Product-based,Sole Proprietorship,2013,12,12,9209520,28,Kigali,59,Female,SME,0.45,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Hybrid,Cooperative,2009,16,16,1994288,29,Rusizi,27,Female,SME,0,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Product-based,Limited Company,2006,19,0,3922461,44,Musanze,32,Male,Startup,-0.03,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Sole Proprietorship,2004,21,21,8633226,20,Rubavu,45,Male,Startup,0.22,Closed
"Arts, Entertainment & Recreation","Music, events & performing arts",Service-based,Sole Proprietorship,2014,11,0,5319016,30,Rubavu,20,Female,Startup,-0.04,Closed
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Partnership,2013,12,12,542034,23,Rusizi,44,Female,SME,-0.14,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Hybrid,Limited Company,2009,16,16,9031152,13,Rubavu,29,Female,SME,0.26,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Sole Proprietorship,2007,18,0,12934488,19,Huye,38,Male,SME,0.18,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Service-based,Limited Company,2014,11,11,14420332,34,Rusizi,56,Male,Micro-enterprise,0.46,Closed
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Partnership,2012,13,13,822889,31,Nyagatare,21,Male,Micro-enterprise,-0.02,Closed
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Product-based,Cooperative,2022,3,3,5854213,44,Kigali,31,Female,Micro-enterprise,0.47,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Limited Company,2008,17,17,4310911,23,Nyagatare,25,Male,Micro-enterprise,0.26,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Sole Proprietorship,2016,9,9,9757529,29,Kigali,19,Male,SME,0.14,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Hybrid,Cooperative,2013,12,12,4360873,31,Rwamagana,62,Male,SME,-0.1,Operating
Public Administration & Defense,Government services,Hybrid,Sole Proprietorship,2022,3,3,4068676,48,Rwamagana,29,Male,Startup,0.22,Closed
Mining & Quarrying,Gold,Hybrid,Limited Company,2005,20,20,7078080,18,Nyagatare,58,Female,Micro-enterprise,0.16,Operating
"Arts, Entertainment & Recreation",Media & film industry,Hybrid,Sole Proprietorship,2001,24,0,655708,31,Huye,37,Female,Micro-enterprise,0.44,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Hybrid,Sole Proprietorship,2023,2,2,8580480,25,Rwamagana,43,Male,SME,-0.08,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Limited Company,2012,13,13,12329435,10,Rubavu,31,Female,Micro-enterprise,0.29,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Sole Proprietorship,2000,25,25,4076510,21,Kigali,38,Female,SME,-0.02,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Hybrid,Sole Proprietorship,2024,1,1,3193767,41,Kigali,46,Female,Micro-enterprise,-0.02,Closed
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Limited Company,2012,13,13,6133114,32,Musanze,48,Female,SME,-0.15,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Limited Company,2014,11,11,3195226,22,Rwamagana,35,Female,Micro-enterprise,-0.14,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Partnership,2011,14,14,8452217,13,Rwamagana,36,Female,SME,0.08,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Limited Company,2017,8,8,1673565,4,Musanze,41,Male,Startup,-0.04,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Service-based,Sole Proprietorship,2018,7,7,3477242,41,Huye,60,Female,Startup,0.22,Closed
Health & Social Work,Health insurance providers,Hybrid,Partnership,2014,11,11,8769369,34,Rwamagana,60,Male,Micro-enterprise,-0.1,Operating
Education & Training,EdTech platforms,Product-based,Cooperative,2020,5,5,921507,5,Huye,59,Female,SME,0.43,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2005,20,20,15971850,13,Rwamagana,32,Female,SME,0.36,Operating
Mining & Quarrying,Gold,Hybrid,Limited Company,2017,8,0,7198398,16,Nyagatare,59,Female,Startup,0.13,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Limited Company,2011,14,14,4292534,9,Nyagatare,34,Male,SME,0.1,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Limited Company,2005,20,20,2881941,12,Rubavu,39,Female,Micro-enterprise,0.08,Operating
Manufacturing,Pharmaceutical & medical products,Hybrid,Cooperative,2013,12,12,8230748,10,Rusizi,58,Female,Startup,0.43,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Sole Proprietorship,2006,19,19,2054735,3,Rubavu,55,Male,Micro-enterprise,-0.1,Operating
Nonprofit & Community Organizations,Religious organizations,Hybrid,Partnership,2010,15,0,7437969,21,Rubavu,55,Female,Micro-enterprise,0.47,Closed
Public Administration & Defense,Security & defense institutions,Product-based,Limited Company,2025,0,0,1201916,33,Kigali,28,Female,Startup,0.31,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Sole Proprietorship,2009,16,16,16109499,17,Kigali,46,Female,Micro-enterprise,0.21,Operating
Manufacturing,Paper & printing,Service-based,Sole Proprietorship,2023,2,2,2539661,17,Rubavu,34,Male,SME,0.18,Operating
Manufacturing,"Textile, apparel & leather goods",Service-based,Partnership,2004,21,21,6546511,47,Rusizi,29,Female,SME,0.21,Closed
Construction & Real Estate,"Architecture, engineering & technical services",Service-based,Partnership,2025,0,0,13189123,1,Rubavu,57,Male,Startup,0.41,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Partnership,2010,15,15,3953962,1,Kigali,49,Female,Startup,0.37,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Hybrid,Partnership,2013,12,12,2160848,22,Huye,39,Female,SME,0.17,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Product-based,Limited Company,2007,18,18,3692848,1,Rubavu,32,Female,Startup,0.41,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Limited Company,2007,18,18,744645,37,Rwamagana,21,Male,SME,-0.01,Closed
Nonprofit & Community Organizations,Religious organizations,Service-based,Partnership,2007,18,18,7117461,29,Kigali,56,Female,Startup,0.24,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Limited Company,2016,9,0,19013994,12,Huye,18,Female,SME,0.28,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Cooperative,2006,19,0,3167285,48,Nyagatare,47,Female,Micro-enterprise,0.42,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Limited Company,2013,12,12,2792311,17,Rusizi,51,Male,SME,-0.1,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Cooperative,2024,1,1,3915437,22,Kigali,31,Female,Startup,0.46,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Service-based,Limited Company,2009,16,16,8622948,20,Rwamagana,56,Female,Micro-enterprise,0.07,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Partnership,2014,11,11,1109800,37,Rusizi,36,Female,Startup,-0.13,Operating
Construction & Real Estate,Real estate development & property management,Product-based,Cooperative,2019,6,6,14463165,45,Rusizi,23,Male,Micro-enterprise,0.05,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Service-based,Partnership,2021,4,4,583658,43,Musanze,42,Female,Micro-enterprise,0.41,Operating
Professional & Business Services,Management consulting & advisory,Hybrid,Limited Company,2010,15,15,7000196,7,Nyagatare,33,Male,Startup,0.23,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Partnership,2015,10,0,9773737,8,Rusizi,19,Female,SME,0.37,Operating
Transport & Logistics,Rail (future projects),Service-based,Sole Proprietorship,2012,13,0,7339121,29,Rwamagana,24,Female,Startup,-0.01,Operating
"Arts, Entertainment & Recreation",Media & film industry,Product-based,Limited Company,2013,12,12,9308236,40,Nyagatare,44,Male,Micro-enterprise,0.22,Operating
